headline,date,news_desk,word_count,Hate Crimes,Discrimination,Race and Ethnicity,Atlanta Spa Shootings (2021),"Murders, Attempted Murders and Homicides","Demonstrations, Protests and Riots",Mass Shootings,Quarantine (Life and Culture),Assaults,Minorities,Workplace Hazards and Violations,Coronavirus (2019-nCoV),url
"As a Doctor, I’ve Worked Tirelessly Through the Pandemic. That Hasn’t Stopped the Hate.",2021-05-21,OpEd,1100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/05/21/opinion/asian-american-women-doctors-racism-sexism.html
Biden Signs Bill to Address Anti-Asian Hate Crimes,2021-05-20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/video/us/politics/100000007773954/biden-bill-asian-american-hate-crime.html
Biden Signs Bill Addressing Hate Crimes Against Asian-Americans,2021-05-20,Washington,697.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/20/us/politics/biden-asian-hate-crimes-bill.html
"Keys, Wallet, Pepper Spray: The New Reality for Asian-Americans",2021-05-20,Metropolitan,997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/20/nyregion/asian-americans-attacks-nyc.html
"Hate Crime Is Eyed in Chinese-American Teen’s 2017 Killing, Authorities Say",2021-05-19,Express,685.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/19/us/maggie-long-murder-hate-crime.html
"Stereotypes Are Rife Among Asian and Pacific Islander Film Roles, Study Finds",2021-05-18,Weekend,565.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/18/movies/asian-pacific-islanders-film.html
"The House passes an anti-Asian hate crimes bill, clearing it for Biden’s signature.",2021-05-18,Washington,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/18/us/house-anti-asian-hate-crimes-biden.html
"Atlanta Spa Shootings Were Hate Crimes, Prosecutor Says",2021-05-11,National,855.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/11/us/atlanta-spa-shootings-hate-crimes.html
"The Lure of H Mart, Where the Shelves Can Seem as Wide as Asia",2021-05-11,Dining,2283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/11/dining/h-mart.html
Yang’s Latest Endorsement Shows Momentum With a Key Voting Bloc,2021-05-10,Metro,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/10/nyregion/andrew-yang-grace-meng-endorsement.html
Daylight Attack on 2 Asian Women in San Francisco Increases Fears,2021-05-05,National,905.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/05/us/asian-attack-san-francisco.html
How Asians Became the Most Vaccinated Group in New York City,2021-05-05,Metro,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/05/05/nyregion/vaccinations-asian-americans.html
"Repairing Generations of Trauma, One Lotus Flower at a Time",2021-05-05,National,817.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/05/us/asian-american-attacks-buddhism.html
How One Graphic Novel Looks at Anti-Asian Hate,2021-05-05,Weekend,1390.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/05/books/aminder-dhaliwal-cyclopedia-exotica.html
Big Business Takes on Anti-Asian Discrimination,2021-05-03,Business,1865.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/03/business/dealbook/asian-american-foundation.html
Asian-American Business Leaders Fund Effort to Fight Discrimination,2021-05-03,Business,693.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/05/03/business/dealbook/asian-american-donation-philanthropy.html
Cathy Park Hong,2021-04-29,Podcasts,637.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/29/podcasts/still-processing-cathy-park-hong-anti-asian-racism.html
Hate Will Not Define My Life,2021-04-29,Styles,754.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/29/style/anti-asian-hate.html
People of Color Breathe More Hazardous Air. The Sources Are Everywhere.,2021-04-28,Climate,1190.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://www.nytimes.com/2021/04/28/climate/air-pollution-minorities.html
How Does It Feel To Be Asian-American Right Now?,2021-04-28,U.S.,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/interactive/2021/04/28/us/asian-american-identity-violence.html
"The Island Is Idyllic. As a Workplace, It’s Toxic.",2021-04-27,Dining,2470.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.nytimes.com/2021/04/27/dining/blaine-wetzel-willows-inn-lummi-island-abuse.html
Suspect Charged With Hate Crime After Brutal Attack on Asian Man in Harlem,2021-04-26,Metro,833.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/26/nyregion/yao-pan-ma-attacked-harlem.html
Teach Your Kids to Resist Hatred Toward Asians,2021-04-25,AtHome,632.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/24/at-home/anti-asian-hate-books.html
The (Mostly White) Power Brokers Running Hollywood,2021-04-24,Opinion,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://www.nytimes.com/interactive/2021/04/24/opinion/diversity-oscars.html
Senate Passes Anti-Asian Hate Bill,2021-04-22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/video/us/politics/100000007725499/senate-anti-asian-hate-bill.html
Senate Resoundingly Passes Bill to Target Anti-Asian Hate Crimes,2021-04-22,Washington,951.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/04/22/us/politics/senate-anti-asian-hate-crimes.html
"Asian-American Artists, Now Activists, Push Back Against Hate",2021-04-18,Culture,1829.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/18/arts/design/asian-american-artists-activism.html
Schumer presses for speedy passage of a bill addressing hate crimes targeting Asian-Americans.,2021-04-15,Washington,472.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/15/us/politics/asian-american-hate-crimes-bill.html
"As the Senate advances a bill addressing hate crimes targeting Asian-Americans, Biden names a liaison to the community.",2021-04-14,Washington,628.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/14/us/senate-anti-asian-american-hate-crimes.html
Party Friends,2021-04-12,TStyle,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/12/t-magazine/bowen-yang-bubble-t.html
"Seeing Hate, 28 Asian and Asian-American Photographers Focus on Love",2021-04-10,Summary,879.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/10/insider/asian-american-photographers-love.html
"Wait, Could Andrew Yang Really Be New York’s Next Mayor?",2021-04-09,OpEd,2122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/09/opinion/sunday/yang-nyc-mayor.html
"Asian-Americans’ Politics, Pandemic Wilderness Explorers and O.J. Simpson’s Twitter Account: The Week in Narrated Articles",2021-04-09,Podcasts,449.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/09/podcasts/asian-americans-pandemic-narrated-articles.html
"To Combat Anti-Asian Attacks, New Yorkers Join Neighborhood Watch Patrols",2021-04-08,Metropolitan,1156.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/08/nyregion/anti-asian-violence-neighborhood-watch.html
Keeping Love Close,2021-04-08,Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/interactive/2021/04/08/arts/asian-american-photos-love.html
Doormen Who Stood By After Brutal Attack on Asian Woman Are Fired,2021-04-06,Metro,638.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/06/nyregion/anti-asian-attack-midtown-doormen-fired.html
‘Kung Fu’ Rights the Wrongs of Its Ancestor,2021-04-06,Culture,1798.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/06/arts/television/kung-fu-cw-asian-cast.html
He Was Charged in an Anti-Asian Attack. It Was His 33rd Arrest.,2021-04-06,Metro,1500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,https://www.nytimes.com/2021/04/06/nyregion/nyc-asian-hate-crime-mental-illness.html
LA Stage Alliance Disbands After Awards Ceremony Blunder,2021-04-06,Culture,966.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/05/theater/la-stage-alliance-collapse.html
"Amid Awakening, Asian-Americans Are Still Taking Shape as a Political Force",2021-04-04,National,1611.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/04/us/georgia-asian-americans-politics.html
Swelling Anti-Asian Violence: Who Is Being Attacked Where,2021-04-04,U.S.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,https://www.nytimes.com/interactive/2021/04/03/us/anti-asian-attacks.html
Would You Jump In to Stop an Assault?,2021-04-03,Science,1556.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/03/science/bystander-effect.html
"In the Philippines, Attacks on Asian-Americans Threaten ‘Family’",2021-04-01,Express,805.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/01/world/asia/asian-attack-new-york-philippines.html
An Asian American Poet on Refusing to Take Up ‘Apologetic Space’,2021-04-01,OpEd,261.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/04/01/opinion/sway-kara-swisher-cathy-park-hong.html
"Asian-American Victims of Violence, and the Bystanders",2021-03-31,Letters,452.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/31/opinion/letters/asian-americans-hate-crimes.html
Man Arrested in Anti-Asian Attack Was on Parole for Killing His Mother,2021-03-31,Metro,1327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/31/nyregion/brandon-elliot-asian-attack-nyc.html
"Prabal Gurung on Anti-Asian Violence, Discrimination and the Duties of Success",2021-03-31,Styles,1060.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/31/style/prabal-gurung-anti-asian-racism.html
"In Broad Daylight, Another Anti-Asian Attack",2021-03-31,Metro,1109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/31/nyregion/anti-asian-attack-manhattan.html
Her Book Is About Belonging. She’s Struggling With the Idea.,2021-03-31,Culture,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/31/books/sanjena-sathian-gold-diggers.html
Biden Announces Actions to Combat Anti-Asian Attacks,2021-03-30,Washington,720.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/30/us/politics/biden-anti-asian-violence.html
Brutal Attack on Filipino Woman Sparks Outrage: ‘Everybody Is on Edge’,2021-03-30,Metro,1394.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/30/nyregion/asian-attack-nyc.html
Attack on Asian Woman in Midtown Prompts Another Hate Crime Investigation,2021-03-30,Express,560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/30/nyregion/attack-asian-woman-midtown.html
"In San Francisco, Turmoil Over Reopening Schools Turns a City Against Itself",2021-03-29,National,1560.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/29/us/san-francisco-schools-racism.html
‘Is This Patriot Enough?’: Asian-American Veteran Reveals Scars as He Calls Out Bias,2021-03-29,Express,584.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/28/us/lee-wong-soldier-asian-American.html
Scholastic Halts Distribution of Book by ‘Captain Underpants’ Author,2021-03-28,Express,877.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/28/books/dav-pilkey-ook-gluk-racism.html
"In a Role Reversal, Asian-Americans Aim to Protect Their Parents From Hate",2021-03-26,Well,1227.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/26/well/family/asian-american-hate-racism.html
"$1 Million Raised After Attack on Asian Woman Will Go to Fight Racism, Family Says",2021-03-26,Express,804.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/26/us/san-francisco-elderly-woman-attacked.html
Jay Leno Apologizes for Years of Anti-Asian Jokes,2021-03-25,Express,452.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/25/arts/television/jay-leno-apology.html
"Rob Bonta, an Asian-American Progressive, Is Named Attorney General in California",2021-03-24,National,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/24/us/rob-bonta-california-attorney-general.html
I’m a Scholar of Religion. Here’s What I See in the Atlanta Shootings.,2021-03-24,OpEd,1023.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/24/opinion/atlanta-shootings-women-religion.html
"2 Immigrant Paths: One Led to Wealth, the Other Ended in Death in Atlanta",2021-03-24,Investigative,2408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/24/us/atlanta-shooting-spa-owners.html
White House Pledges Asian-American Focus After Democrats Threaten Nominees,2021-03-23,Washington,1094.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/23/us/politics/duckworth-hirono-biden-nominees.html
Are Hate Crime Laws Really the Answer to Anti-Asian Violence?,2021-03-23,OpEd,1684.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/23/opinion/asian-hate-crimes.html
Attacks Against Asian New Yorkers: What to Know,2021-03-23,Metro,1037.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/23/nyregion/asian-new-yorkers-attacks.html
"As Protesters Rally Against Anti-Asian Hate, N.Y.C. Records 5 Attacks",2021-03-22,Metro,1178.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/22/nyregion/nyc-asian-hate-crimes.html
The Generational Split in How Asian-Americans See the Atlanta Shootings,2021-03-22,OpEd,620.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/22/opinion/atlanta-shootings-asian-american.html
How Many Women Have to Die to End ‘Temptation’?,2021-03-22,OpEd,1037.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/22/opinion/atlanta-shooting-women-violence.html
Anti-Asian Attacks Place Andrew Yang in the Spotlight. How Will He Use It?,2021-03-22,Metro,1697.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/22/nyregion/andrew-yang-bias-asian-atlanta.html
The Many Faces of Post-Trump Stress Disorder,2021-03-22,OpEd,1412.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/22/opinion/atlanta-biden-cuomo.html
Why Some Georgia Lawmakers Want Last Week’s Shootings Labeled Hate Crimes,2021-03-21,Politics,1371.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/21/us/politics/georgia-hate-crime-atlanta-shootings.html
"There Are Two Asian-Americas, and One Is Invisible",2021-03-21,OpEd,994.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://www.nytimes.com/2021/03/21/opinion/atlanta-shooting-asian-massage.html
Rally in Atlanta to #StopAsianHate,2021-03-20,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/video/us/100000007665674/atlanta-shooting-stop-asian-hate-march-rally.html
There Is No Rung on the Ladder That Protects You From Hate,2021-03-20,SundayBusiness,1612.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/20/technology/personaltech/asian-american-wealth-gap.html
The Deep American Roots of the Atlanta Shootings,2021-03-20,OpEd,1632.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.nytimes.com/2021/03/19/opinion/atlanta-shooting-massage-sex-work.html
Biden and Harris Condemn Violence Against Asian-Americans,2021-03-20,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/video/us/politics/100000007665031/biden-harris-atlanta-asian-americans.html
"Confronting Violence Against Asians, Biden Says That ‘We Cannot Be Complicit’",2021-03-20,Washington,1338.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/19/us/politics/biden-harris-atlanta.html
How Anti-Asian Activity Online Set the Stage for Real-World Violence,2021-03-19,Business,1214.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/19/technology/how-anti-asian-activity-online-set-the-stage-for-real-world-violence.html
I’m Helping My Korean-American Daughter Embrace Her Identity to Counter Racism,2021-03-19,Well,1566.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/19/well/family/Talking-to-children-anti-Asian-bias.html
‘A long line of hate’ against Asian-Americans in N.Y.C.,2021-03-19,Metro,964.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/19/nyregion/asian-american-attacks-nyc.html
Joe Biden and Kamala Harris met with Asian-American leaders in Atlanta.,2021-03-19,National,486.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/03/19/us/biden-harris-atlanta.html
Asian-Americans Are Scared for a Reason,2021-03-19,Editorial,659.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/03/18/opinion/anti-asian-american-violence.html
